"","companyName","company_starRating","company_offeredRole","company_roleLocation","company_salary","listing_jobDesc","salary","role","location","R","Python","SQL"
"23","Kum & Go",3.4,"Senior Data Analyst","Des Moines, IA","$59K - $84K (Glassdoor est.)","Apply business, analytic, and technical knowledge to meet wide ranging business and strategic needs using techniques such as segmentation, statistical inference, visualization, experimentation, and predictive modeling 
Work with large, sometimes disparate data sources to build analytic datasets for analysis and modeling. 
Manage assigned projects from inception to completion with a consultative approach: meet with business partners, define the problem/question, formulate an approach, execute the analysis, create recommendations, and present findings to stakeholders 
Identify and lead implementation of advanced data solutions, tools, or capabilities to meet strategic needs of the organization and enable self-service frameworks for analytic consumers Excellent analytical, critical thinking, and problem-solving skills 
High attention to detail and quality 
Ability to manage multiple projects that are at various stages 
Comfortable working both independently and collaborating in a team atmosphere 
Strong desire to provide quality work while meeting critical deadlines 
Highly skilled with statistical software and programming languages such as R, Python, SQL, and SAS and enabling statistical/data science packages such as pandas, scikit learn, H2O, caret, ggplot, and Spark. 
Advanced knowledge of statistical (e.g., sampling, regression, PCA, time-series forecasting, hypothesis testing, design of experiments) and machine learning (e.g., neural network, random forest, GBM) techniques 
Advanced knowledge of relational databases such as MS SQL Server, Oracle, and Teradata 
Working knowledge of cloud technologies such as Azure or AWS 
3+ years of experience in a similar role 
Relocation to Des Moines, IA area required 
Communication: Delivers clear, effective communication and listens to others 
Conceptual/Systems Thinking: Recognizes patterns, trends, themes, and connections in information to develop innovative ideas and solutions 
Constructive Engagement: Expresses ideas and disagreements, constructively resolves conflict, and encourages others to do the same 
Customer Orientation: Meets the expectations and needs of internal and external customers 
Decision Making: Makes good decisions in a timely manner 
Empowerment: Takes initiative and solves problems 
Talent Development: Maximizes potential and improves overall performance 
Influence: Proactively builds relationships and influences others 
Analytical Thinking/Problem Solving: Accurately assesses problems and effectively and efficiently arrives at solutions 
Strategic Thinking: Understands the current state and is able to visualize the ideal state and how to achieve it 
Passion - We love what we do, and it shows in our work 
Integrity - We do the right thing, even when it is difficult 
Teamwork - We believe that greatness is only achieved in unity 
Caring - We have genuine compassion for our customers, associates, families, and communities 
Excellence - We expect and deliver superior performance",71.5,"Data Analyst","IA",1,1,1
"24","Inland Empire Health Plans",3.8,"Data Scientist (Telecommute CA. Resident)","Rancho Cucamonga, CA","Employer est.:$126K - $160K ","Dental insurance Employee assistance program Flexible spending account Health insurance Health savings account Life insurance Paid time off Parental leave Professional development assistance Referral program Retirement plan Tuition reimbursement Vision insurance 8 hour shift Bonus pay Rancho Cucamonga, CA 91730: Reliably commute or planning to relocate before starting work (Required) Master's (Required) Python: 4 years (Required) SAS: 4 years (Preferred) HC Domain Knowledge: 4 years (Preferred) Data Science Projects: 4 years (Preferred)",143,"Data Scientist","CA",1,1,0
"25","Johns Hopkins Applied Physics Laboratory (APL)",4.3,"Decision Scientist","Laurel, MD","$86K - $126K (Glassdoor est.)","
Your primary responsibility will be to apply decision science principles through thought leadership and practical expertise to the selection, design, development, and evaluation of complex decision support systems. 
You will apply skills related to decision science such as data analysis, data visualization, statistics, risk analysis, and operations research to precision strike system development. 
You will deliver formal presentations to sponsors and supporting contractors, and effectively communicate critical decision points and supporting analysis for those decisions. 
You will develop decision analysis teams and processes that provide effective and influential decision science perspectives on system design and development. 
Have a Master’s degree in Decision Science, Operations Research, Mathematics, Statistics, Data Science, or a related engineering discipline. 
Have at least five (5) years of relevant experience in applying decision science. 
Have strong verbal and written communication skills, as well as strong critical thinking skills. 
Have demonstrated the ability to interact effectively with diverse, multidisciplinary teams, including industry and Government sponsors. 
Are able to obtain an Interim Secret level security clearance by your start date and can ultimately obtain a Top Secret security clearance. If selected, you will be subject to a Government security clearance investigation and must meet the requirements for access to classification information. Eligibility requirements include U.S. citizenship. 
Can demonstrate that you are fully vaccinated against COVID-19. To ensure safety and well-being of the community, APL has established a policy requiring that all staff be vaccinated against COVID-19. All staff members must provide proof of fully vaccination or have an approved medical or religious accommodation by their start date. 
Have a PhD in Decision Science, Operations Research, Mathematics, Statistics, Data Science, or a related engineering discipline. 
Have direct experience applying Decision Science to develop systems for the DoD. 
Have experience with implementing software for data science applications. 
Have familiarity with the DoD acquisition process. 
Hold an active Top Secret clearance.",106,"Data Scientist","MD",1,0,0
"26","The Brite Group",3.2,"Senior Data Architect","Reston, VA","Employer est.:$100K ","10+ years of experience in one or more of the disciplines associated with data analytics. 5+ years of experience with working closely with business and IT groups to coordinate current and future plans and activities, including coordination and technical assistance to facilitate specific data analytics. 5+ years of experience possessing and applying comprehensive knowledge across multiple fields, key task components, and high-impact assignments. 5+ years of experience developing plans and leading major consulting assignments that include data analytics with machine learning and artificial intelligence. 2+ years of in-depth knowledge of at least one analytical/statistical language (Closure, Scala, Python, R)"" 401(k) Dental insurance Health insurance Paid time off 8 hour shift Are you a US Citizen? Data architecture: 10 years (Required) AWS Cloud: 2 years (Required) Machine learning: 5 years (Required) Python: 2 years (Required) high impact assignments: 5 years (Required)",100,"Data Engineer","VA",1,1,0
"27","Utah State University",4.2,"Data Scientist","Logan, UT","$71K - $108K (Glassdoor est.)","
Clean and transform, data in preparation for statistical and analytical use. 
Apply statistical modeling and machine learning methods to diverse sets of data, and interpret, process, and synthesize results. 
Exercise judgement and prudence when preparing datasets, applying models, and interpreting results, to ensure only accurate and unbiased findings are disseminated. 
Provide accessible, action-oriented insights that lead to improved efficiency and intentionality through collaborative partnerships.
 Create, maintain, and execute a cascading plan of action utilizing large data sets from disparate sources across campus using advanced techniques, such as predictive modeling, and random forests. 
Determine appropriate statistical analyses and methods to employ, based on data availability and project needs 
Identify and pursue opportunities to serve as an emissary for advanced analytics techniques in action. 
Support, empower, and collaborate with institutional partners across campus. 
In close collaboration with colleagues, assist with the preparation and distribution of public scholarship and peer-reviewed data science. 
Serve as a resource for applied statistical methods using advanced and sophisticated technical knowledge. 
Collaborate with program administrators and other stakeholders to develop context around student participation data and empower data literacy. 
Effectively communicate analytic results to both technical and non-technical audiences. 
Stay informed about the state of the field in data science and predictive analytics in higher education. 
Special projects or other duties as assigned. 
A strong interest and aptitude in student success and related data. 
Effective communication skills (verbal and written). 
A technical aptitude and understanding of predictive models and ethics of care. 
An ability to collaborate and follow guidance regarding stakeholder engagement and public communication. 
Equivalent to a Masters degree in Data Analytics, Computer Science, Business, or related technical field and two (2) years of related experience required. 
Demonstrated statistical and quantitative analysis experience.
 Ability to effectively work independently and function as a collaborative team member. 
Exposure to and experience using analytics databases, reporting tools, and visualization tools. 
Proficiency in at least one programming languages (Python, R, Scala, etc.) for data preparation and analysis. 
Doctoral degree in Data Analytics or related field. 
Three (3) or more years of experience processing, cleaning, creating dashboards or other data visualizations. 
Three (3) or more years of experience developing, testing, and analyzing statistical or predictive models in a higher education or educational setting. 
Experience working with large complex data sets. 
Resume/CV to be uploaded at the beginning of your application in the Candidate Profile under ""Resume/CV"" 
Cover Letter to be typed/pasted at the end of your application updated 11/2022",89.5,"Data Scientist","UT",1,1,0
"28","Lockheed Martin",4.1,"Artificial Intelligence / Machine Learning Engineer","Moorestown, NJ","$88K - $130K (Glassdoor est.)","Apply AI / ML based concepts to develop, implement, and test revolutionary radar control algorithms to combat evolving threats Develop models and detailed simulations to assess system performance. Implement radar target track filtering and smoothing algorithms that meet customer requirements.
 Develop the surrounding engineering talent in AI / ML techniques, tools, and applications Perform functional analysis, design trade studies, requirements allocation, and interface definition to translate customer requirements into hardware and software specifications Represent the organization on contracts and interface with internal and external customers, government lab partners, program and senior leadership, and multidisciplinary engineering teams on significant technical matters",109,"Machine Learning","NJ",1,0,0
"29","Trinity Sterile, Inc.",2.4,"Artificial Intelligence Engineer","Salisbury, MD","Employer est.:$50K - $60K ","Design and implement machine learning models and algorithms for various business applications. Develop and deploy natural language processing (NLP) algorithms for chatbots and virtual assistants. Develop and implement computer vision algorithms for image and video analysis. Collaborate with software developers, data engineers, and other stakeholders to integrate AI systems with existing products and services. Optimize AI systems for accuracy, efficiency, and scalability. Ensure the security and privacy of sensitive data used in AI systems. Stay up-to-date with the latest developments and trends in AI and machine learning and evaluate their potential impact on our business. Develop and maintain documentation for all AI models and systems. Bachelor's degree in Computer Science, Data Science, Mathematics, or related field. Minimum of 5 years of experience in artificial intelligence, machine learning, or related field. Strong programming skills in languages such as Python, Java, or C++. Solid understanding of machine learning techniques and algorithms, including supervised and unsupervised learning, reinforcement learning, and deep learning. Experience with common machine learning frameworks such as TensorFlow, Keras, or PyTorch. Familiarity with natural language processing (NLP) techniques and tools such as NLTK, spaCy, or GPT. Experience with computer vision libraries and frameworks such as OpenCV or TensorFlow. Strong problem-solving and analytical skills. Excellent communication and collaboration skills. Ability to work effectively in a fast-paced, dynamic environment. 401(k) 401(k) matching Dental Insurance Health Insurance Health Savings Account Life Insurance Paid Time Off (PTO) Vision Insurance Waiting period 90 days Monday to Friday (8AM – 5PM) Bachelor’s (Required) Master’s (Preferred) 401(k) 401(k) matching Dental insurance Health insurance Health savings account Life insurance Paid time off Vision insurance 8 hour shift Monday to Friday Salisbury, MD: Reliably commute or planning to relocate before starting work (Required) Python: 1 year (Preferred) SQL: 1 year (Preferred)",55,"Machine Learning","MD",1,1,1
"30","Priority Plus Financial LLC",NA,"Data Scientist","Costa Mesa, CA","Employer est.:$106K - $114K ","Use an ensemble of decision trees, Naive Bayes, KNN and SVM to create a unifying model. Use Dirichlet multinomial distribution to initialise the model. Perform cross-validation to check the robustness of the proposed model. Learn multi-layered perceptron using radial basis function in order to compute the posterior probability. Use Support vector machine to make predictions. 401(k) Dental insurance Employee discount Flexible spending account Health insurance Health savings account Life insurance Paid time off Vision insurance 8 hour shift Monday to Friday Bonus pay Costa Mesa, CA: Reliably commute or planning to relocate before starting work (Required) Python: 1 year (Preferred) SQL: 1 year (Preferred)",110,"Data Scientist","CA",1,1,1
"31","Allegheny Health Network",3.7,"Data Analyst Senior","Pennsylvania","Employer est.:$23.78 Per Hour","Collects & maintains data for reporting. Designs and maintains weekly and monthly quality scorecards. Creates and maintains data/reporting logs to support System groups. (20%)
 Understands, utilizes and educates staff on quality software for analysis, including RL Solutions, EPSI, and Cognos. (15%)
 Creates and supports innovative reporting for professional/publishable views of WPAHS quality measures. (15%)
 Responsible for submission of all quality reporting. (10%)
 Responsible for data assurance for and producing quality reporting to analyze core measures. (15%)
 Responds to all ad hoc project requests related to clinical, operational and statistical reporting. (10%)
 Supports team with interfacing of disparate systems to a centralized report writer and clinical data base warehouse to create System wide quality reporting for AHN. (15%)
 Performs other duties as assigned or required.
 Bachelor's degree in Business, Health Information Management, or a Clinical degree with experience in data development and analysis.
 Master’s degree.
 BSN degree.
 5-7 years’ data/business analysis experience. Prefer experience with EPIC or other EMR.
 Experience in clinical pathways or performance improvement.
 Required to obtain EPIC certifications Clarity, Caboodle and Cogito within 6 months of employment .
",50.5,"Data Analyst","ia",1,0,0
"32","Beam Inc.",3.8,"Data Scientist - Supply Planning","Chicago, IL","$84K - $120K (Glassdoor est.)","Partner with Global S&OP functional areas (Supply Planning, Commercial, and Fulfillment) to optimize our processes as part of the Global Supply Planning team.
 Implement process improvement initiatives that drive improvements to the metrics and streamline the Supply Chain Utilize a diverse array of technologies and tools as needed, to deliver insights, optimize processes, and develop automation Manage the analytics platform, build capabilities, support global user adoption of analytics and process adherence, develop and maintain technical documentation; work closely with IT for Data Engineering Work closely with the technical community to drive an SAP IBP team of business users globally, allowing for internal problem-solving capabilities, a high degree of end-user acceptance Partner with the business to understand the market segmentation strategies and develop visualization, models using machine learning (e.g. classification, clustering, regression) incorporating ABC-XYZ segmentation, and statistical analysis methods such as time-series analysis, statistical inference Desgin and integrate a global Inventory Management to provide end-to end Supply Chain visibility to Deep dive large into demand/supply planning and supply chain data to explain change, develop insights, and provide business recommendations to improve attainment, adherence, inventory management , and other key metrics. Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data, and identify patterns Lead and mentor a team of data scientists, and analysts Process structured, unstructured and semi-structured data and apply data cleaning Advanced Degree or equivalent experience in Operations Research, Industrial Engineering, Statistics, Applied Mathematics 3-5+ years of experience with at least 2+ years in experience in a supply chain discipline with demonstrated End to End understanding of Supply Chain interdependencies for a CPG or Spirits company. Excellent problem solving, analytical, written and verbal communication skills across many levels of the organization.
 communications and presenting to senior leadership. Experience with S&OP Planning tools like SAP IBP, SAP APO (DP and SNP) highly preferred Experience with Google Cloud Platform, SAP HANA strongly preferred Strong experience with Python/R, SQL, Power BI, Tableau Experience with operations research, statistics, linear programming, constraint programming. 3+ years of hands-on experience in developing and deploying optimization, predictive and prescriptive, machine learning models Ability to use collaborative programming tools like Git Ability to manage multiple projects and prioritize competing requirements",102,"Data Scientist","IL",1,1,1
"33","Johns Hopkins Applied Physics Laboratory (APL)",4.3,"Electro-Optic Data Scientist / System Engineer","Laurel, MD","$71K - $109K (Glassdoor est.)","
Analyze, evaluate, and test EO/IR seekers and sensors at the unit, subsystem, and system levels 
Develop and refine algorithms, tools, and simulations for analysis 
Support flight tests and related field operations and analyze the data from them 
Prepare and deliver to the Government reports that provide objective evidence for decision support 
Review requirements, designs, and specifications 
Analyze and work to improve the performance of special test equipment for EO/IR seeker and sensor systems 
Work with an inclusive, diverse team of developers and analysts, with project and program managers, and with peers across our organization to ensure that our assessments provide critical contributions to the most critical challenges the nation faces in air and missile defense. 
A BS degree in mathematics, physics, astronomy, optics, engineering, or a related field 
Professional experience in data analysis, evaluation, and testing applicable to electro-optic systems. 
Knowledge of a wide variety of physical and mathematical analytical techniques, and a flair for understanding and solving complex technical problems. 
Desire and ability to partner with government, industry, and academia to develop sophisticated systems crucial to the defense of the United States. 
Strong written and oral presentation skills. 
Are able to obtain an Interim Secret level security clearance by your start date and can ultimately obtain a Secret level clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship. 
Can demonstrate that you are fully vaccinated against COVID-19. To ensure the safety and well-being of the community, APL has established a policy requiring that all staff be vaccinated against COVID-19. All staff members must provide proof of full vaccination or have an approved medical or religious accommodation by their start date.",90,"Data Scientist","MD",1,0,0
"34","Boston Children's Hospital",4,"Natural Language Processing Research Assistant II","Boston, MA","$42K - $54K (Glassdoor est.)","
Use machine learning approaches (e.g., natural language processing) to process clinical notes. Develop algorithms to pre-process the clinical data for development of machine learning pipelines. Develop machine learning pipelines to assist risk and outcomes prediction. 
Development of patient selection and text extraction pipelines, and development and fine tuning of negation and new entity recognition algorithms. Conduct literature searches and reviews, compiling information for journals and suggesting uses for new techniques to the P.I. Attends courses, lectures and conferences to further own knowledge of research and laboratory techniques, consulting with other researchers and technicians to exchange information. 
Assist in the process of data collection and analysis using varied instrumentation and software; provide proper documentation and organization to ensure integrity and organization of collected data. 
Apply basic statistical knowledge; understand, interpret, and describe complex data by preparing graphs and tables. 
Participate in the preparation, review, and submission of manuscripts and abstracts for publication. 
Bachelor's degree 
Experience in NLP feature engineering and modeling (e.g., text classification, entity recognition, entity extraction, question answering) 
Experience with SoTA modeling techniques (such as transformers, BERT, etc) 
Experience taking an NLP project from concept to production 
Building deep neural networks with modern tools, such as PyTorch or Tensorflow 
Expertise with Python 
One Journal publication or peer-reviewed conference paper or projects with public code repositories 
Research experience and practical knowledge of research principles is required whether through previous internship, work experience, or coursework. Experience with healthcare datasets is a plus 
Excellent critical thinking skills are required. 
Work requires the ability to communicate effectively both orally and in writing. LI",48,"Machine Learning","MA",1,1,0
"35","TBD Solutions LLC",NA,"Data Scientist Consultant","Grand Rapids, MI","Employer est.:$78.75 Per Hour","Dental insurance Employee assistance program Flexible schedule Health insurance Life insurance Paid time off Retirement plan Vision insurance 8 hour shift Monday to Friday Overtime What percentage of your time would you hope includes coding and/or working with data? What about TBD Solutions and this position is specifically appealing to you? How does this position fit into your career development? Bachelor's (Required) Analysis of Healthcare Data: 2 years (Preferred) R or Python: 2 years (Preferred) Reporting writing: 2 years (Preferred) SQL: 3 years (Required)",76.5,"Data Scientist","MI",1,1,1
"36","Prime Connected",2,"Telecommunications System Technician (Data)","Providence, RI","Employer est.:$20.00 - $30.00 Per Hour","Rhode Island Telecommunications System Technician (Data) License. Experienced life stylers who are looking to start a new career opportunity where you’ll work locally for the first year and travel 90-95% of the time afterwards. Service-oriented team members Logical problem-solvers Organized multitaskers Strong communicators Rhode Island Telecommunications System Technician (Data) License. Structured cabling experience working with category cables and fiber optics Open-mind and willingness to learn and understand every aspect of the structured cabling system including pathways, spaces, cabling, testing and more High attention to detail Team player attitude Rhode Island Telecommunications System Technician (Data) License. COVID-19 Vaccination Other vaccinations required to work in hospital environments Must have a valid driver’s license Ability to read, write, and understand English Ability to distinguish colors 401(k) 401(k) matching Dental insurance Employee assistance program Health insurance Health savings account Life insurance Paid time off Parental leave Referral program Tuition reimbursement Vision insurance Monday to Friday Weekend availability Bonus pay Signing bonus Do you have any experience using cable certifiers/testers? Which ones have you used? Do you have experience installing j-hooks? What is the maximum spacing? Have you ever Sweep, PIM, or Fiber Tested before? Are you familiar with firestopping? Do you have any certifications related to firestop? Do you currently have a valid driver's license? (not suspended, revoked, ect.) What cable have you installed and/or terminated in a commercial setting? commercial (non-residential) structured cabling: 2 years (Required) RI Telecommunications System Technician (Data) License (Required) 100% (Required)",20,"Others","RI",1,0,0
"37","UTHealth Houston",4,"Research Data Scientist & Administrator III - Hybrid","Houston, TX","Employer est.:$103K - $154K ","100% paid medical premiums for our full-time employees Generous time off (holidays, preventative leave day, both vacation and sick time – all of which equates to around 37-38 days per year) The longer you stay, the more vacation you’ll accrue! Longevity Pay (Monthly payments after two years of service) Build your future with our awesome retirement/pension plan! Free financial and legal counseling Free mental health counseling services Gym membership discounts and access to wellness programs Other employee discounts including entertainment, car rentals, cell phones, etc. Resources for child and elder care Plus many more! Supports faculty and clinical, business and research customers with data science services on a variety of projects which may include targeted research projects, clinical analyses, hospital quality/safety assessment, health economics, , practice management, population health, and translational research. Manages multiple projects with a variety of internal and/or external team members that may or may not report directly to the position. Develops strong relationships with internal and external project sponsors or research projects. Builds models that incorporate diverse data sets representing administrative, clinical and social health indicators when applicable. Applies a variety of methods such as statistical analysis, data mining, predictive analytics, time series analysis, multivariate regression analysis, statistical process control and optimization solutions. Performs as a results-oriented problem solver to quickly synthesize complex scenarios, connect abstract patterns/information, apply appropriate methods, and implement practical and timely solutions.Demonstrates and embraces a collaborative approach to fully realize the talents of colleagues such as data stewards, IT staff, business analysts, business stakeholders and industry experts. Drafts, writes and edits research results to be submitted to peer reviewed publications and/or delivered at professional conferences.Trains and mentors researchers to develop and complete projects that contribute to the improvement of public health and health policy. Assesses the impact of computer networking and data warehousing on data use and analysis when applicable. Performs other duties as assigned. Proficiency with statistical packages, data bases and programming languages for data preparation, storage, transformation, analysis or visualization. Examples include R, SAS, STATA, SPSS, Matlab, SQL, Python, Hadoop, Pig, Hive, MapReduce, Java Tableau, Excel or other big data frameworks. Ability to work with a wide variety of data formats/sources such as relational databases, XML, JSON, CSV, text, sensors/activity trackers, clickstreams, social media, and geolocation Effective communication skills including written, oral, listening and interpersonal. PhD degree in health care, management, mathematics, engineering, informatics, or a related field 5 years of enterprise experience as a data scientist, informaticist, statistician, senior analyst or related role",128.5,"Data Scientist","TX",1,1,1
"38","Belcan Government Services",3.7,"Data Scientist *Must hold active TS/SCI*","Tampa, FL","Employer est.:$130K ","The DSE is responsible for preparing ""big data infrastructure to include the design, build, and integration of various data sources. The contractor shall perform the following tasks:Develop complex queries to ensure accessibility while optimizing the performance of NoSQL and or big data infrastructure. US Citizen Data Visualization experience preferred. 401(k) 401(k) matching Dental insurance Health insurance Paid time off Vision insurance 8 hour shift Monday to Friday Tampa, FL: Reliably commute or planning to relocate before starting work (Required) Python: 1 year (Preferred) SQL: 1 year (Preferred)",130,"Data Scientist","FL",1,1,1
"39","Beam Inc.",3.8,"Data Scientist - Supply Planning","Chicago, IL","$84K - $120K (Glassdoor est.)","Partner with Global S&OP functional areas (Supply Planning, Commercial, and Fulfillment) to optimize our processes as part of the Global Supply Planning team.
 Implement process improvement initiatives that drive improvements to the metrics and streamline the Supply Chain Utilize a diverse array of technologies and tools as needed, to deliver insights, optimize processes, and develop automation Manage the analytics platform, build capabilities, support global user adoption of analytics and process adherence, develop and maintain technical documentation; work closely with IT for Data Engineering Work closely with the technical community to drive an SAP IBP team of business users globally, allowing for internal problem-solving capabilities, a high degree of end-user acceptance Partner with the business to understand the market segmentation strategies and develop visualization, models using machine learning (e.g. classification, clustering, regression) incorporating ABC-XYZ segmentation, and statistical analysis methods such as time-series analysis, statistical inference Desgin and integrate a global Inventory Management to provide end-to end Supply Chain visibility to Deep dive large into demand/supply planning and supply chain data to explain change, develop insights, and provide business recommendations to improve attainment, adherence, inventory management , and other key metrics. Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data, and identify patterns Lead and mentor a team of data scientists, and analysts Process structured, unstructured and semi-structured data and apply data cleaning Advanced Degree or equivalent experience in Operations Research, Industrial Engineering, Statistics, Applied Mathematics 3-5+ years of experience with at least 2+ years in experience in a supply chain discipline with demonstrated End to End understanding of Supply Chain interdependencies for a CPG or Spirits company. Excellent problem solving, analytical, written and verbal communication skills across many levels of the organization.
 communications and presenting to senior leadership. Experience with S&OP Planning tools like SAP IBP, SAP APO (DP and SNP) highly preferred Experience with Google Cloud Platform, SAP HANA strongly preferred Strong experience with Python/R, SQL, Power BI, Tableau Experience with operations research, statistics, linear programming, constraint programming. 3+ years of hands-on experience in developing and deploying optimization, predictive and prescriptive, machine learning models Ability to use collaborative programming tools like Git Ability to manage multiple projects and prioritize competing requirements",102,"Data Scientist","IL",1,1,1
"40","Guidehouse",3.7,"Data Scientist","Huntsville, AL","$78K - $117K (Glassdoor est.)","
Providing the Client with change management strategies that will impact the people, processes, and technology, 
Assist the Client in determining the operating model and organizational structure in support of Intelligent Automation and Data Analytics to deliver innovative solutions 
Interfacing with Army Agencies and Team Subject Matter Experts to creating and validating data analytics models. 
U.S. citizenship and ability to obtain and maintain a Secret Clearance 
5 years with a PhD or 8 years with a Masters Degree or 10 years with a Bachelors Degree 
Demonstrates experience in performing software or data science development efforts with clear examples of value added to the client. 
Masters degree in a science, technology, math, engineering field preferred; humanities degree with equivalent technical experience acceptable. 
Experience implementing and automating software models created by data science teams (i.e. Spark, Scala, Hive, Python, R, SQL, etc.). 
Experience with common data science tools, such as R, Python, MATLAB; with a heavy emphasis on Python. 
Demonstrates experience interacting with end-users to understand and document business and functional requirements for complex projects, as well as collaborating with technical teams across the full software development life cycle. 
Demonstrates considerable proven knowledge of analytical, organizational, planning and project management specific to software development lifecycle processes, which may include the following: 
Designing and implementing technology for new or existing business applications.
Developing systems requirements, designing, and prototyping, testing, training, defining support procedures, and implementing practical business solutions under weekly and monthly deadlines.
Problem solving capabilities demonstrated in a team context to debug, troubleshoot complex software orchestrations, and/or identify solution options.
Experience scoping and estimating individual tasks, as well as performing on multiple tasks with minimal supervision.
Ability to collect, organize, manage, and process client’s sources of information and enhance data collection procedures.
Understanding of the processing, cleaning, and verification of data used for analysis and ad-hoc analysis.
Ability to perform verification, validation, and fault detection of data models. 
Medical, Rx, Dental & Vision Insurance 
Personal and Family Sick Time & Company Paid Holidays 
Position may be eligible for a discretionary variable incentive bonus 
Parental Leave and Adoption Assistance 
401(k) Retirement Plan 
Basic Life & Supplemental Life 
Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts 
Short-Term & Long-Term Disability 
Student Loan PayDown 
Tuition Reimbursement, Personal Development & Learning Opportunities 
Skills Development & Certifications 
Employee Referral Program 
Corporate Sponsored Events & Community Outreach 
Emergency Back-Up Childcare Program 
Mobility Stipend",97.5,"Data Scientist","AL",1,1,1
"41","Level One Personnel",5,"Data Modeling Research Scientist","Frederick, MD","Employer est.:$80K - $100K ","Formulates research projects, develops innovative approaches, designs and implements experimental protocols related to computational models. Continuously surveys the scientific literature to generate novel ideas and advance projects and programs. Develops necessary new technologies and protocols. Trains, and in some instances supervises, junior research scientists. Collects, processes, and interprets experimental data and model outputs. Presents research methods and scientific concepts at appropriate scientific conferences. Prepares research proposals, progress reports, and manuscripts for submission to scientific journals and present research methods and findings at appropriate forums. Assists in the identification, development, and maintenance of collaborations with both internal and external research groups for development of new approaches to existing research problems. May perform other duties and responsibilities as assigned or directed by the supervisor. This may include attendance of and participation in required training for role. May recommend the following: employee hiring, disciplinary action, and starting salaries; provide input on employee performance evaluations. Candidates are required to be fully vaccinated against COVID-19. Proof of vaccination or an approved religious or medical accommodation will be required. Doctoral Degree in Engineering, Computational Physics, Mathematics or related field. Level I: Minimum of 0-2 years’ experience required. Level II: Minimum of 3-5 years’ experience required. Proven computational experience with solid knowledge of informatics tools and visualization/data mining package Proficiency in common database/programming/scripting languages (e.g., SQL, R, Python, Perl, Java, MATLAB, C++) and their application in biomedical research Excellent communication skills Ability to troubleshoot technical procedures Good analytical skills Ability to work independently in a deadline-driven environment. 401(k) 401(k) matching Dental insurance Health insurance Life insurance Vision insurance 8 hour shift Day shift Monday to Friday Frederick, MD: Reliably commute or planning to relocate before starting work (Required)",90,"Data Scientist","MD",1,1,1
"42","Millennium Health",3.2,"Clinical Laboratory Scientist, Data Review","San Diego, CA","Employer est.:$85K - $97K ","Responsible for testing to troubleshoot result issues. Reports laboratory test results for all test methods approved by CAP, NY and CLIA. Ensures accuracy and quality of test results meeting required turnaround times. Enters testing data and reviews chromatography and calculated results from a variety of standardized tests on urine samples using advanced LC-MS-MS technology and EIA for the detection of prescription and illicit drugs. Evaluates the validity of results obtained, maintains proper records of results and creates a report of results. Maintains quality control and LC-MS-MS chromatographic data prior to release or results to physicians. Ensures that testing methods follow established quality control procedures. Identifies, troubleshoots, documents and resolves test result issues. Documents issues using the Laboratory Occurrence Management (LOM) form. Acts as a resource to laboratory technicians, laboratory assistants and associate scientists. Follows safe laboratory practices and participates in operational support activities necessary to maintain and optimize testing capabilities. May oversee the duties of clinical laboratory technicians, clinical laboratory assistants and associate scientists who prepare specimens or perform other less complex procedures. Participates in internal laboratory audits. 0-4 years’ experience in high complexity testing; CLIA/CAP environment Must maintain continuing education units required by California Department of Health Services Knowledgeable in laboratory methods and techniques Knowledgeable of equipment and supplies used in a laboratory Proficient in MS applications (Word/Excel/PowerPoint/Outlook) Strong interpersonal skills and ability to communicate with all levels of employees Effective attention to detail with high degree of accuracy Bachelor’s degree with current California CLS license ASCP license highly preferred Sitting (85 %), walking (5 %), standing (10%), and lifting up to 20 lbs. Physical requirements will vary depending on departmental needs. The employee is expected to read and understand standard operating procedures (SOPs) The employee should be able to convert SOP instructions into work-related tasks. The employee must be able to perform simple calculations as required in the SOP The employee must be able to use judgment when there is a deviation in the system and effectively communicate any discrepancy to their supervisor. The employee is regularly exposed to high pressure/high stress situations, and therefore, must be able to thrive in this type of environment. Must be able to tolerate a moderate noise level. Must be able to work an extended schedule as needed. $84,760.00 to $97,448.00 Offers are based on skills, knowledge, and abilities of the selected candidate.",91,"Data Analyst","CA",1,0,0
